gvkey,datadate,fyear,tic,act,ch,ebit,lct
001045,1962/12/31,1962,AAL,242.7000,,23.4100,118.1000
001045,1963/12/31,1963,AAL,252.3570,,41.5010,153.2450
001045,1964/12/31,1964,AAL,226.5510,,64.4810,139.0000
001045,1965/12/31,1965,AAL,255.1800,10.7670,74.8840,168.9160
001045,1966/12/31,1966,AAL,331.8630,15.2860,97.8740,183.3270
001045,1967/12/31,1967,AAL,373.8950,19.6000,82.4450,189.8490
001045,1968/12/31,1968,AAL,330.7010,18.7960,63.9160,209.3910
001045,1969/12/31,1969,AAL,311.2680,26.0050,62.9620,241.2680
001045,1970/12/31,1970,AAL,284.4380,33.2360,-7.8650,277.6110
001045,1971/12/31,1971,AAL,302.3890,44.8580,29.6420,289.5030
001045,1972/12/31,1972,AAL,327.7490,26.6410,35.7610,325.7460
001045,1973/12/31,1973,AAL,403.3120,19.5940,-36.7770,377.0330
001045,1974/12/31,1974,AAL,450.6780,18.1460,45.2300,430.8480
001045,1975/12/31,1975,AAL,530.7880,15.1290,-17.1260,444.6380
001045,1976/12/31,1976,AAL,695.5880,20.2750,71.7580,501.0280
001045,1977/12/31,1977,AAL,877.3480,17.2770,64.1380,601.2500
001045,1978/12/31,1978,AAL,1037.5220,29.1870,118.8860,786.3870
001045,1979/12/31,1979,AAL,1103.9600,41.5010,3.8240,983.1420
001045,1980/12/31,1980,AAL,1049.6710,40.1320,-86.2530,1058.5220
001045,1981/12/31,1981,AAL,1211.5170,33.7730,72.2140,1221.2540
001045,1982/12/31,1982,AAL,1214.4320,28.6220,9.1370,1243.1900
001045,1983/12/31,1983,AAL,1865.4640,16.3100,281.4840,1437.9370
001045,1984/12/31,1984,AAL,2180.5530,28.8560,368.5260,1552.8460
001045,1985/12/31,1985,AAL,2270.7730,24.3850,536.6300,1802.9410
001045,1986/12/31,1986,AAL,2109.4070,21.5730,410.9230,1984.9910
001045,1987/12/31,1987,AAL,2146.2950,44.7630,461.0640,2071.0070
001045,1988/12/31,1988,AAL,2615.0000,54.9000,806.5000,2795.6000
001045,1989/12/31,1989,AAL,2091.2000,120.3000,744.0000,3479.1000
001045,1990/12/31,1990,AAL,2657.8000,113.5000,124.0000,4824.7000
001045,1991/12/31,1991,AAL,2806.0000,94.0000,5.0000,4742.0000
001045,1992/12/31,1992,AAL,2868.0000,45.0000,-25.0000,4720.0000
001045,1993/12/31,1993,AAL,2690.0000,63.0000,575.0000,4417.0000
001045,1994/12/31,1994,AAL,3118.0000,23.0000,1284.0000,4914.0000
001045,1995/12/31,1995,AAL,3137.0000,82.0000,1548.0000,4693.0000
001045,1996/12/31,1996,AAL,4470.0000,68.0000,1865.0000,5566.0000
001045,1997/12/31,1997,AAL,5071.0000,64.0000,1926.0000,5617.0000
001045,1998/12/31,1998,AAL,4875.0000,95.0000,2338.0000,5639.0000
001045,1999/12/31,1999,AAL,4424.0000,85.0000,1156.0000,5864.0000
001045,2000/12/31,2000,AAL,5179.0000,89.0000,1381.0000,6990.0000
001045,2001/12/31,2001,AAL,6540.0000,120.0000,-1860.0000,7512.0000
001045,2002/12/31,2002,AAL,4937.0000,104.0000,-2622.0000,7240.0000
001045,2003/12/31,2003,AAL,4682.0000,120.0000,-795.0000,6559.0000
001045,2004/12/31,2004,AAL,4971.0000,120.0000,-133.0000,7018.0000
001045,2005/12/31,2005,AAL,6164.0000,138.0000,102.0000,8320.0000
001045,2006/12/31,2006,AAL,6902.0000,121.0000,1060.0000,8505.0000
001045,2007/12/31,2007,AAL,7229.0000,148.0000,1029.0000,8483.0000
001045,2008/12/31,2008,AAL,5935.0000,191.0000,-573.0000,9374.0000
001045,2009/12/31,2009,AAL,6642.0000,153.0000,-745.0000,7728.0000
001045,2010/12/31,2010,AAL,6838.0000,168.0000,308.0000,8780.0000
001045,2011/12/31,2011,AAL,6757.0000,283.0000,-286.0000,8630.0000
001045,2012/12/31,2012,AAL,7072.0000,480.0000,494.0000,9304.0000
001045,2013/12/31,2013,AAL,14323.0000,1140.0000,1935.0000,13806.0000
001045,2014/12/31,2014,AAL,12112.0000,994.0000,5073.0000,13435.0000
001045,2015/12/31,2015,AAL,9985.0000,390.0000,7284.0000,13605.0000
001045,2016/12/31,2016,AAL,10324.0000,322.0000,6007.0000,13872.0000
001045,2017/12/31,2017,AAL,9146.0000,295.0000,4792.0000,14964.0000
001045,2018/12/31,2018,AAL,8637.0000,275.0000,3449.0000,18096.0000
001075,1962/12/31,1962,PNW,21.9470,,19.2730,15.9140
001075,1963/12/31,1963,PNW,16.0630,,22.8840,23.8850
001075,1964/12/31,1964,PNW,16.3950,,26.3920,18.4810
001075,1965/12/31,1965,PNW,16.1120,,25.7300,17.3370
001075,1966/12/31,1966,PNW,17.6990,,26.8450,18.6620
001075,1967/12/31,1967,PNW,17.8240,,26.8220,22.2740
001075,1968/12/31,1968,PNW,17.1380,,30.2650,21.1480
001075,1969/12/31,1969,PNW,20.2450,,35.3360,68.0400
001075,1970/12/31,1970,PNW,25.4750,,40.4720,63.5640
001075,1971/12/31,1971,PNW,32.7890,,38.7100,113.6470
001075,1972/12/31,1972,PNW,38.0190,,45.4160,56.4500
001075,1973/12/31,1973,PNW,43.1950,2.7530,56.1620,139.1830
001075,1974/12/31,1974,PNW,69.3170,2.3450,55.6490,259.8800
001075,1975/12/31,1975,PNW,93.7520,1.1710,80.9560,76.8120
001075,1976/12/31,1976,PNW,88.1960,2.5800,89.5380,88.5090
001075,1977/12/31,1977,PNW,95.6760,3.9690,119.5060,110.0010
001075,1978/12/31,1978,PNW,115.1990,4.1010,152.6170,176.4020
001075,1979/12/31,1979,PNW,146.7410,5.8190,164.4260,288.6600
001075,1980/12/31,1980,PNW,162.9580,6.6220,,272.3370
001075,1981/12/31,1981,PNW,181.5950,6.8240,,295.7240
001075,1982/12/31,1982,PNW,209.9150,7.9300,,500.5770
001075,1983/12/31,1983,PNW,228.9580,11.7350,,452.7250
001075,1984/12/31,1984,PNW,195.4270,7.5650,,440.5820
001075,1985/12/31,1985,PNW,292.3410,7.3380,523.0200,277.3860
001075,1986/12/31,1986,PNW,427.8850,6.0240,444.8170,615.1010
001075,1987/12/31,1987,PNW,409.9000,9.1590,498.4630,273.6720
001075,1988/12/31,1988,PNW,,232.9110,560.4300,
001075,1989/12/31,1989,PNW,430.2100,129.5630,480.7150,620.2020
001075,1990/12/31,1990,PNW,387.4630,59.3580,459.3780,623.0450
001075,1991/12/31,1991,PNW,491.7780,173.7150,-167.2490,641.5880
001075,1992/12/31,1992,PNW,437.5220,87.9260,547.4770,650.1170
001075,1993/12/31,1993,PNW,483.2360,52.1270,532.6530,539.1520
001075,1994/12/31,1994,PNW,435.5780,34.7190,533.7700,532.1160
001075,1995/12/31,1995,PNW,430.4700,79.5390,562.4240,504.4930
001075,1996/12/31,1996,PNW,450.2690,26.6860,543.8590,550.6150
001075,1997/12/31,1997,PNW,449.1000,27.4840,557.5060,523.6640
001075,1998/12/31,1998,PNW,456.7990,20.5380,567.1280,640.2030
001075,1999/12/31,1999,PNW,498.7940,20.7050,578.7770,495.4900
001075,2000/12/31,2000,PNW,793.9130,10.3630,675.9710,1191.2980
001075,2001/12/31,2001,PNW,727.4050,28.6190,674.6270,1090.9290
001075,2002/12/31,2002,PNW,812.6880,77.7070,516.0470,1055.1150
001075,2003/12/31,2003,PNW,969.0470,228.7790,482.0530,1150.9740
001075,2004/12/31,2004,PNW,1137.1300,163.3660,506.2590,1625.8960
001075,2005/12/31,2005,PNW,1891.3920,154.0030,653.8510,2272.0730
001075,2006/12/31,2006,PNW,1474.6620,87.2100,618.8700,1458.5600
001075,2007/12/31,2007,PNW,947.4470,56.3210,619.2510,1384.9670
001075,2008/12/31,2008,PNW,882.4820,105.2450,530.5460,1505.9280
001075,2009/12/31,2009,PNW,928.7370,145.3780,580.2260,1083.1600
001075,2010/12/31,2010,PNW,931.9300,110.1880,723.8840,1310.7360
001075,2011/12/31,2011,PNW,956.4700,33.5830,746.5080,1342.7050
001075,2012/12/31,2012,PNW,1005.7260,26.2020,851.7550,1083.5420
001075,2013/12/31,2013,PNW,1043.6090,9.5260,846.3230,1618.6440
001075,2014/12/31,2014,PNW,973.4350,7.6040,811.2420,1559.1430
001075,2015/12/31,2015,PNW,890.5160,39.4880,854.6020,1442.3170
001075,2016/12/31,2016,PNW,822.2190,8.8810,855.9840,1292.9460
001075,2017/12/31,2017,PNW,1016.2880,13.8920,934.4270,1197.8520
001075,2018/12/31,2018,PNW,924.9910,5.7660,773.6870,1648.9640
001078,1962/12/31,1962,ABT,89.8000,,29.4000,41.5860
001078,1963/12/31,1963,ABT,102.3000,,34.9380,42.9650
001078,1964/12/31,1964,ABT,116.1000,,43.8300,45.3460
001078,1965/12/31,1965,ABT,116.7000,,45.3400,48.8500
001078,1966/12/31,1966,ABT,128.8000,,49.0860,54.1850
001078,1967/12/31,1967,ABT,143.1000,,52.2790,60.0960
001078,1968/12/31,1968,ABT,167.9000,,64.9200,70.5150
001078,1969/12/31,1969,ABT,197.0780,3.3150,71.2200,88.8030
001078,1970/12/31,1970,ABT,224.6540,6.5810,76.9330,114.4180
001078,1971/12/31,1971,ABT,236.4800,4.7770,38.4890,92.0990
001078,1972/12/31,1972,ABT,292.6850,5.0350,68.0300,129.2950
001078,1973/12/31,1973,ABT,399.9440,5.4810,77.8920,211.2230
001078,1974/12/31,1974,ABT,523.4100,5.3760,97.0600,221.3840
001078,1975/12/31,1975,ABT,475.2010,6.7930,121.3350,259.7990
001078,1976/12/31,1976,ABT,563.6000,6.9590,150.3480,259.0890
001078,1977/12/31,1977,ABT,590.3500,7.2070,194.8370,336.0400
001078,1978/12/31,1978,ABT,667.5040,6.5010,226.7690,421.4510
001078,1979/12/31,1979,ABT,805.3920,3.9240,274.6160,525.4710
001078,1980/12/31,1980,ABT,963.6390,,339.0010,727.5610
001078,1981/12/31,1981,ABT,1056.1690,,415.5490,863.4680
001078,1982/12/31,1982,ABT,1124.2380,,489.8670,893.3920
001078,1983/12/31,1983,ABT,1292.8400,,604.2750,676.7690
001078,1984/12/31,1984,ABT,1549.6300,,676.5180,806.3300
001078,1985/12/31,1985,ABT,1680.3980,,737.1470,788.4660
001078,1986/12/31,1986,ABT,1888.8720,,878.6110,1303.5210
001078,1987/12/31,1987,ABT,2155.5170,,1005.6710,1486.8260
001078,1988/12/31,1988,ABT,2352.9630,390.8920,1102.0170,1439.7050
001078,1989/12/31,1989,ABT,2102.8470,13.6080,1221.1120,1383.6320
001078,1990/12/31,1990,ABT,2461.2420,34.0340,1406.0410,2001.1750
001078,1991/12/31,1991,ABT,2891.0680,60.3950,1557.0300,2229.3370
001078,1992/12/31,1992,ABT,3231.7380,116.5760,1741.0120,2782.5080
001078,1993/12/31,1993,ABT,3585.5350,300.6760,1957.9660,3094.9330
001078,1994/12/31,1994,ABT,3876.3280,290.2720,2144.2070,3475.8660
001078,1995/12/31,1995,ABT,4226.7110,281.1970,2382.9040,3790.3140
001078,1996/12/31,1996,ABT,4480.9020,110.2090,2654.0610,4343.7170
001078,1997/12/31,1997,ABT,5038.2080,230.0240,2850.4260,5034.4680
001078,1998/12/31,1998,ABT,5553.1360,308.2300,3117.9230,4962.1260
001078,1999/12/31,1999,ABT,6419.7540,608.0970,3333.5750,4516.7110
001078,2000/12/31,2000,ABT,7376.2410,914.2180,3262.0680,4297.5400
001078,2001/12/31,2001,ABT,8419.1890,657.3780,3537.9320,7926.8170
001078,2002/12/31,2002,ABT,9121.7720,704.4500,3940.8410,7002.2020
001078,2003/12/31,2003,ABT,10290.4150,995.1240,4164.7720,7639.5350
001078,2004/12/31,2004,ABT,10734.4850,1225.6280,4455.3260,6825.6440
001078,2005/12/31,2005,ABT,11386.0280,2893.6870,4835.3990,7415.5140
